strat_id;date;protection;rendement;M1;C1
4;04/02/2006;40;0.0032270638887;0,8866;0,1134
3;04/02/2006;30;0.0036056256647;0,9893;0,0107
2;04/02/2006;20;0.0036071069658;0,9897;0,0103
1;04/02/2006;10;0.0036082590888;0,9897;0,0103
0;04/02/2006;0;0.003617476073;0,9925;0,0075
12;05/02/2006;100;5.55555556e-05;0;1
11;05/02/2006;95;0.0022254064742;0,2974;0,7026
10;05/02/2006;90;0.0027672522688;0,3685;0,6315
9;05/02/2006;85;0.0031995784553;0,4252;0,5748
8;05/02/2006;80;0.003606167597;0,4785;0,5215
7;05/02/2006;70;0.0043956604413;0,5821;0,4179
6;05/02/2006;60;0.005175437931;0,6844;0,3156
5;05/02/2006;50;0.0059532835657;0,7865;0,2135
4;05/02/2006;40;0.0067317806648;0,8886;0,1114
3;05/02/2006;30;0.0074994521164;0,9893;0,0107
2;05/02/2006;20;0.0075025148451;0,9897;0,0103
1;05/02/2006;10;0.0075048969675;0,9897;0,0103
0;05/02/2006;0;0.0075239539464;0,9925;0,0075
12;06/02/2006;100;0.0001666666667;0;1
11;06/02/2006;95;-0.0004789505833;0,3123;0,6877
10;06/02/2006;90;-0.0005540057142;0,3785;0,6215
9;06/02/2006;85;-0.0006162356205;0,4334;0,5666
8;06/02/2006;80;-0.0006756147835;0,4858;0,5142
7;06/02/2006;70;-0.0007918019842;0,5883;0,4117
6;06/02/2006;60;-0.0009069294142;0,6899;0,3101
5;06/02/2006;50;-0.0010218227447;0,7913;0,2087
4;06/02/2006;40;-0.0011367513816;0,8927;0,1073
3;06/02/2006;30;-0.0012462596193;0,9893;0,0107
2;06/02/2006;20;-0.0012467150045;0,9897;0,0103
1;06/02/2006;10;-0.001247069193;0,9897;0,0103
0;06/02/2006;0;-0.0012499027011;0,9925;0,0075
12;09/02/2006;100;5.55555556e-05;0;1
11;09/02/2006;95;0.0014258019452;0,3091;0,6909
10;09/02/2006;90;0.0017458885274;0,3765;0,6235
9;09/02/2006;85;0.0020085839221;0,4318;0,5682
8;09/02/2006;80;0.0022583692008;0,4844;0,5156
7;09/02/2006;70;0.0027462263651;0,5872;0,4128
6;09/02/2006;60;0.0032292323943;0,6889;0,3111
5;09/02/2006;50;0.0037111568504;0,7904;0,2096
4;09/02/2006;40;0.0041932338169;0,892;0,108
3;09/02/2006;30;0.0046552405384;0,9893;0,0107
2;09/02/2006;20;0.0046571481271;0,9897;0,0103
1;09/02/2006;10;0.0046586318071;0,9897;0,0103
0;09/02/2006;0;0.0046705012477;0,9925;0,0075
12;10/02/2006;100;5.55555556e-05;0;1
11;10/02/2006;95;0.0024510042971;0,3186;0,6814
10;10/02/2006;90;0.0029533306402;0,3828;0,6172
9;10/02/2006;85;0.0033770771403;0,437;0,563
8;10/02/2006;80;0.0037839368503;0,489;0,511
7;10/02/2006;70;0.0045825830686;0,5911;0,4089
6;10/02/2006;60;0.0053749450889;0,6923;0,3077
5;10/02/2006;50;0.0061657731724;0,7934;0,2066
4;10/02/2006;40;0.0069566001857;0,8945;0,1055
3;10/02/2006;30;0.0076980460099;0,9893;0,0107
2;10/02/2006;20;0.0077011893951;0,9897;0,0103
1;10/02/2006;10;0.0077036342501;0,9897;0,0103
0;10/02/2006;0;0.0077231930908;0,9925;0,0075
12;11/02/2006;100;5.55555556e-05;0;1
11;11/02/2006;95;-0.001819957293;0,3349;0,6651
10;11/02/2006;90;-0.0021306611981;0,3935;0,6065
9;11/02/2006;85;-0.0024074707466;0,4456;0,5544
8;11/02/2006;80;-0.0026780203858;0,4966;0,5034
7;11/02/2006;70;-0.0032138668398;0,5975;0,4025
6;11/02/2006;60;-0.0037474721204;0,698;0,302
5;11/02/2006;50;-0.0042803596648;0,7984;0,2016
4;11/02/2006;40;-0.0048129925019;0,8987;0,1013
3;11/02/2006;30;-0.0052939392474;0,9893;0,0107
2;11/02/2006;20;-0.0052960723906;0,9897;0,0103
1;11/02/2006;10;-0.005297731502;0,9897;0,0103
0;11/02/2006;0;-0.005311004393;0,9925;0,0075
12;12/02/2006;100;5.55555556e-05;0;1
11;12/02/2006;95;-0.0006510837106;0,3228;0,6772
10;12/02/2006;90;-0.0007699741225;0,3858;0,6142
9;12/02/2006;85;-0.0008713078354;0,4394;0,5606
8;12/02/2006;80;-0.0009689969079;0,4912;0,5088
7;12/02/2006;70;-0.0011611629383;0,593;0,407
6;12/02/2006;60;-0.0013519791974;0,694;0,306
5;12/02/2006;50;-0.0015424389018;0,7949;0,2051
4;12/02/2006;40;-0.0017328585797;0,8958;0,1042
3;12/02/2006;30;-0.0019093733369;0,9893;0,0107
2;12/02/2006;20;-0.001910131882;0,9897;0,0103
1;12/02/2006;10;-0.0019107218616;0,9897;0,0103
0;12/02/2006;0;-0.0019154416979;0,9925;0,0075
12;13/02/2006;100;0.0001666666667;0;1
11;13/02/2006;95;0.0021789070043;0,3184;0,6816
10;13/02/2006;90;0.0026458377774;0,383;0,617
9;13/02/2006;85;0.0030381581112;0,4372;0,5628
8;13/02/2006;80;0.0034145764917;0,4892;0,5108
7;13/02/2006;70;0.0041532490633;0,5913;0,4087
6;13/02/2006;60;0.004885977788;0,6926;0,3074
5;13/02/2006;50;0.0056171935928;0,7937;0,2063
4;13/02/2006;40;0.0063483210872;0,8947;0,1053
3;13/02/2006;30;0.0070323410894;0,9893;0,0107
2;13/02/2006;20;0.0070352479517;0,9897;0,0103
1;13/02/2006;10;0.0070375088447;0,9897;0,0103
0;13/02/2006;0;0.0070555959882;0,9925;0,0075
12;16/02/2006;100;5.55555556e-05;0;1
11;16/02/2006;95;0.0004465422896;0,333;0,667
10;16/02/2006;90;0.0005338656596;0,3925;0,6075
9;16/02/2006;85;0.0006107601468;0,445;0,555
8;16/02/2006;80;0.0006856960656;0,4961;0,5039
7;16/02/2006;70;0.0008339053729;0,5972;0,4028
6;16/02/2006;60;0.0009813955917;0,6978;0,3022
5;16/02/2006;50;0.0011286492664;0,7982;0,2018
4;16/02/2006;40;0.0012758139536;0,8986;0,1014
3;16/02/2006;30;0.0014088391397;0,9893;0,0107
2;16/02/2006;20;0.0014094282441;0,9897;0,0103
1;16/02/2006;10;0.0014098864363;0,9897;0,0103
0;16/02/2006;0;0.0014135519745;0,9925;0,0075
12;17/02/2006;100;5.55555556e-05;0;1
11;17/02/2006;95;0.0012419719324;0,3359;0,6641
10;17/02/2006;90;0.001465520432;0,3945;0,6055
9;17/02/2006;85;0.0016645109266;0,4465;0,5535
8;17/02/2006;80;0.0018590809859;0,4975;0,5025
7;17/02/2006;70;0.0022445326124;0,5983;0,4017
6;17/02/2006;60;0.0026283665977;0,6988;0,3012
5;17/02/2006;50;0.0030116204239;0,7991;0,2009
4;17/02/2006;40;0.0033946045813;0,8993;0,1007
3;17/02/2006;30;0.0037383388843;0,9893;0,0107
2;17/02/2006;20;0.0037398740852;0,9897;0,0103
1;17/02/2006;10;0.0037410681302;0,9897;0,0103
0;17/02/2006;0;0.0037506204908;0,9925;0,0075
12;18/02/2006;100;5.55555556e-05;0;1
11;18/02/2006;95;-0.0021695693995;0,3442;0,6558
10;18/02/2006;90;-0.0025127648128;0,3997;0,6003
9;18/02/2006;85;-0.0028235273134;0,45;0,55
8;18/02/2006;80;-0.0031326229409;0,5;0,5
7;18/02/2006;70;-0.0037508141957;0,6;0,4
6;18/02/2006;60;-0.0043690054505;0,7;0,3
5;18/02/2006;50;-0.0049871967054;0,8;0,2
4;18/02/2006;40;-0.0056053879602;0,9;0,1
3;18/02/2006;30;-0.0061573444377;0,9893;0,0107
2;18/02/2006;20;-0.0061598282419;0,9897;0,0103
